province_name,province_id,owner_name_1763,owner_tag_1763,historical_justification_1763_with_source,current_owner_tag,status,confidence
Pensacola,526,Florida,FLO,"North America 1763 (post-Paris colonies + Native nations): province held by Florida (FLO) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/north_america_1763.md]",FLO,OWNED,high
Lugano,527,Switzerland,SWI,"Central Europe / HRE 1763 (abstracted per operator HRE rule): province held by Switzerland (SWI) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",SWI,OWNED,high
Galle,528,Ceylon,CYL,"South Asia 1763 (post-Mughal successors + EIC): province held by Ceylon (CYL) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",CYL,OWNED,high
Bou Saada,529,Algiers,ALG,"N. Africa / Maghreb 1763 (Ottoman regencies + Morocco): province held by Algiers (ALG) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/oceania_sea_maghreb_1763.md]",ALG,OWNED,high
Port Elizabeth,530,Cape Colony,CPC,"Southern Africa 1763 (Cape + Bantu polities): province held by Cape Colony (CPC) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/africa_1763.md]",CPC,OWNED,high
Villarramiel,531,Spain,SPA,"W. Europe 1763 state system (Treaty of Paris settlement): province held by Spain (SPA) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",SPA,OWNED,high
Sasaram,532,Patna,PAT,"South Asia 1763 (post-Mughal successors + EIC): province held by Patna (PAT) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",PAT,OWNED,high
Koubia,533,Futa Jallon,FTJ,"West Africa 1763 (Asante/Oyo/Dahomey + Sahelian states): province held by Futa Jallon (FTJ) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/africa_1763.md]",FTJ,OWNED,high
Zhongshan,534,China,CHI,"East Asia 1763 (Qing empire + tributaries): province held by China (CHI) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",CHI,OWNED,high
Bahía San Blas,535,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Mali,536,Futa Jallon,FTJ,"West Africa 1763 (Asante/Oyo/Dahomey + Sahelian states): province held by Futa Jallon (FTJ) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/africa_1763.md]",FTJ,OWNED,high
North Sudanese desert,537,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Ylan,538,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Pawlodar,539,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Mobile,540,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Toamasina,541,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Dai,542,China,CHI,"East Asia 1763 (Qing empire + tributaries): province held by China (CHI) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",CHI,OWNED,high
Davao,543,Maguindanao,MGO,"Maritime SE Asia 1763 (sultanates + VOC): province held by Maguindanao (MGO) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/oceania_sea_maghreb_1763.md]",MGO,OWNED,high
Graham,544,Comanche,CMC,"North America 1763 (post-Paris colonies + Native nations): province held by Comanche (CMC) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/north_america_1763.md]",CMC,OWNED,high
Thohoyandou,545,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Wilmington,546,Great Britain (mod: USA — deferred),GBR,"HISTORICALLY GBR: in Feb 1763 the Thirteen Colonies are British (Treaty of Paris). The mod keeps them under USA as the load-bearing anchor of the AI-autonomous US sectional-crisis->Civil War arc (task #93, se_USA_SECTION.txt). FLAG-DEFERRED: correct owner GBR, left as USA by design. See global_province_audit.md 2026-07-20. Src: Calloway, The Scratch of a Pen (2006); Anderson, Crucible of War (2000).",USA,OWNED,high (owner GBR); FLAG-DEFERRED
Doce,547,Brazil,BRZ,"Latin America 1763 (Spanish viceroyalties / Portuguese Brazil): province held by Brazil (BRZ) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/latin_america_1763.md]",BRZ,OWNED,high
Hobbs,548,Comanche,CMC,"North America 1763 (post-Paris colonies + Native nations): province held by Comanche (CMC) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/north_america_1763.md]",CMC,OWNED,high
Salgueiro,549,Brazil,BRZ,"Latin America 1763 (Spanish viceroyalties / Portuguese Brazil): province held by Brazil (BRZ) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/latin_america_1763.md]",BRZ,OWNED,high
Douentza,550,Bamana,BMN,"West Africa 1763 (Asante/Oyo/Dahomey + Sahelian states): province held by Bamana (BMN) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/africa_1763.md]",BMN,OWNED,high
Halaib,551,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Kerewan,552,French Coastal Africa,FCA,"West Africa 1763 (Asante/Oyo/Dahomey + Sahelian states): province held by French Coastal Africa (FCA) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/africa_1763.md]",FCA,OWNED,high
Antonio Enes,553,Mozambique,MOZ,"Central Africa 1763 (Kongo / Lunda / Luba): province held by Mozambique (MOZ) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/africa_1763.md]",MOZ,OWNED,high
Lüliang,554,China,CHI,"East Asia 1763 (Qing empire + tributaries): province held by China (CHI) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",CHI,OWNED,high
Curvelo,555,Brazil,BRZ,"Latin America 1763 (Spanish viceroyalties / Portuguese Brazil): province held by Brazil (BRZ) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/latin_america_1763.md]",BRZ,OWNED,high
Garh Moor,556,Khalistan,KHL,"South Asia 1763 (post-Mughal successors + EIC): province held by Khalistan (KHL) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",KHL,OWNED,high
Fernando Poo,557,Spain,SPA,"W. Europe 1763 state system (Treaty of Paris settlement): province held by Spain (SPA) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",SPA,OWNED,high
Valle de Bravo,558,Mexico,MEX,"North America 1763 (post-Paris colonies + Native nations): province held by Mexico (MEX) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/north_america_1763.md]",MEX,OWNED,high
Gopiganj,559,Benares,BNR,"South Asia 1763 (post-Mughal successors + EIC): province held by Benares (BNR) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",BNR,OWNED,high
Chormoz,560,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Troppau,561,Austria,AUS,"Central Europe / HRE 1763 (abstracted per operator HRE rule): province held by Austria (AUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",AUS,OWNED,high
Krasninsky,562,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Posen,563,Poznan,POZ,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Poznan (POZ) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",POZ,OWNED,high
Bayreuth,564,Bavaria,BAV,"Central Europe / HRE 1763 (abstracted per operator HRE rule): province held by Bavaria (BAV) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",BAV,OWNED,high
Orscha,565,Lithuania,LIT,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Lithuania (LIT) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",LIT,OWNED,high
Mushiganj,566,East India Company,EIC,"South Asia 1763 (post-Mughal successors + EIC): province held by East India Company (EIC) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",EIC,OWNED,high
Kamyenka,567,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Charabli,568,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Ternovka,569,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Ramadi,570,Iraq,IRA,"Middle East 1763 (Ottoman / Persian / Arabian spheres): province held by Iraq (IRA) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",IRA,OWNED,high
Kalinkavichy,571,Lithuania,LIT,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Lithuania (LIT) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",LIT,OWNED,high
Syava,572,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Verona,573,Venice,VEN,"Italy 1763 (pre-unification states + republics): province held by Venice (VEN) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",VEN,OWNED,high
Schönberg,574,Austria,AUS,"Central Europe / HRE 1763 (abstracted per operator HRE rule): province held by Austria (AUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",AUS,OWNED,high
La Roda,575,Spain,SPA,"W. Europe 1763 state system (Treaty of Paris settlement): province held by Spain (SPA) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",SPA,OWNED,high
Cabimas,576,Captaincy General Venezuela,CPV,"Latin America 1763 (Spanish viceroyalties / Portuguese Brazil): province held by Captaincy General Venezuela (CPV) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/latin_america_1763.md]",CPV,OWNED,high
Mendawai,577,Banjar,BJR,"Maritime SE Asia 1763 (sultanates + VOC): province held by Banjar (BJR) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/oceania_sea_maghreb_1763.md]",BJR,OWNED,high
Erlangen,578,Bavaria,BAV,"Central Europe / HRE 1763 (abstracted per operator HRE rule): province held by Bavaria (BAV) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",BAV,OWNED,high
Merine,579,Algiers,ALG,"N. Africa / Maghreb 1763 (Ottoman regencies + Morocco): province held by Algiers (ALG) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/oceania_sea_maghreb_1763.md]",ALG,OWNED,high
Gaya,580,Patna,PAT,"South Asia 1763 (post-Mughal successors + EIC): province held by Patna (PAT) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",PAT,OWNED,high
Montpelier,581,Great Britain (mod: USA — deferred),GBR,"HISTORICALLY GBR: in Feb 1763 the Thirteen Colonies are British (Treaty of Paris). The mod keeps them under USA as the load-bearing anchor of the AI-autonomous US sectional-crisis->Civil War arc (task #93, se_USA_SECTION.txt). FLAG-DEFERRED: correct owner GBR, left as USA by design. See global_province_audit.md 2026-07-20. Src: Calloway, The Scratch of a Pen (2006); Anderson, Crucible of War (2000).",USA,OWNED,high (owner GBR); FLAG-DEFERRED
Tolemaida,582,Santa Fe De Bogota,SFB,"Latin America 1763 (Spanish viceroyalties / Portuguese Brazil): province held by Santa Fe De Bogota (SFB) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/latin_america_1763.md]",SFB,OWNED,high
Tatal,583,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Lungphialia,584,Manipur,MNP,"South Asia 1763 (post-Mughal successors + EIC): province held by Manipur (MNP) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",MNP,OWNED,high
Beirut,585,Mount Lebanon,MLB,"Middle East 1763 (Ottoman / Persian / Arabian spheres): province held by Mount Lebanon (MLB) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",MLB,OWNED,high
Salihorsk,586,Lithuania,LIT,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Lithuania (LIT) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",LIT,OWNED,high
Snezhinsk,587,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Amtali,588,East India Company,EIC,"South Asia 1763 (post-Mughal successors + EIC): province held by East India Company (EIC) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",EIC,OWNED,high
Tankhoi,589,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
San Clemente,590,Spain,SPA,"W. Europe 1763 state system (Treaty of Paris settlement): province held by Spain (SPA) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",SPA,OWNED,high
Nalbari,591,Assam,ASS,"South Asia 1763 (post-Mughal successors + EIC): province held by Assam (ASS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",ASS,OWNED,high
Pemboang,592,Kotawaringin,KOT,"Maritime SE Asia 1763 (sultanates + VOC): province held by Kotawaringin (KOT) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/oceania_sea_maghreb_1763.md]",KOT,OWNED,high
Anyê Maqên,593,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Sarikei,594,Brunei,BRU,"Maritime SE Asia 1763 (sultanates + VOC): province held by Brunei (BRU) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/oceania_sea_maghreb_1763.md]",BRU,OWNED,high
El Kasdir,595,Algiers,ALG,"N. Africa / Maghreb 1763 (Ottoman regencies + Morocco): province held by Algiers (ALG) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/oceania_sea_maghreb_1763.md]",ALG,OWNED,high
Sangymgort,596,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Cooperstown,597,Great Britain (mod: USA — deferred),GBR,"HISTORICALLY GBR: in Feb 1763 the Thirteen Colonies are British (Treaty of Paris). The mod keeps them under USA as the load-bearing anchor of the AI-autonomous US sectional-crisis->Civil War arc (task #93, se_USA_SECTION.txt). FLAG-DEFERRED: correct owner GBR, left as USA by design. See global_province_audit.md 2026-07-20. Src: Calloway, The Scratch of a Pen (2006); Anderson, Crucible of War (2000).",USA,OWNED,high (owner GBR); FLAG-DEFERRED
Oltu,598,Turkey,TUR,"Middle East 1763 (Ottoman / Persian / Arabian spheres): province held by Turkey (TUR) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",TUR,OWNED,high
Dasht-e Kavir,599,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Vorkuta,600,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Amdjarass,601,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Bharatpur,602,Gwalior,GWA,"South Asia 1763 (post-Mughal successors + EIC): province held by Gwalior (GWA) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",GWA,OWNED,high
Teshig,603,Uliastai,ULS,"East Asia 1763 (Qing empire + tributaries): province held by Uliastai (ULS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",ULS,OWNED,high
Aqqu,604,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Sikkim,605,Sikkim,SKK,"East Asia 1763 (Qing empire + tributaries): province held by Sikkim (SKK) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",SKK,OWNED,high
Guaycuru,606,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Sêrxü,607,China,CHI,"East Asia 1763 (Qing empire + tributaries): province held by China (CHI) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",CHI,OWNED,high
Kuching,608,Brunei,BRU,"Maritime SE Asia 1763 (sultanates + VOC): province held by Brunei (BRU) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/oceania_sea_maghreb_1763.md]",BRU,OWNED,high
Ryökäsvesi,609,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Nurmes,610,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Lake Champlain,611,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Mouyamba,612,Loango,LOA,"Central Africa 1763 (Kongo / Lunda / Luba): province held by Loango (LOA) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/africa_1763.md]",LOA,OWNED,high
Tanggula,613,Nangchen,NGQ,"East Asia 1763 (Qing empire + tributaries): province held by Nangchen (NGQ) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",NGQ,OWNED,high
Singapore,614,Johor,JHR,"Maritime SE Asia 1763 (sultanates + VOC): province held by Johor (JHR) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/oceania_sea_maghreb_1763.md]",JHR,OWNED,high
Nador,615,Morocco,MOR,"N. Africa / Maghreb 1763 (Ottoman regencies + Morocco): province held by Morocco (MOR) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/oceania_sea_maghreb_1763.md]",MOR,OWNED,high
Pechora,616,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Qianfeng,617,Manchuria,MNC,"East Asia 1763 (Qing empire + tributaries): province held by Manchuria (MNC) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",MNC,OWNED,high
Trabzon,618,Trabzon,TRB,"Middle East 1763 (Ottoman / Persian / Arabian spheres): province held by Trabzon (TRB) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",TRB,OWNED,high
Maymanah,619,Maymana,MMA,"Central Asia 1763 (khanates / Qing frontier): province held by Maymana (MMA) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",MMA,OWNED,high
Jhargram,620,Khorda,KHR,"South Asia 1763 (post-Mughal successors + EIC): province held by Khorda (KHR) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",KHR,OWNED,high
Tsagaannuur,621,Uliastai,ULS,"East Asia 1763 (Qing empire + tributaries): province held by Uliastai (ULS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",ULS,OWNED,high
Talavera,622,Spain,SPA,"W. Europe 1763 state system (Treaty of Paris settlement): province held by Spain (SPA) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",SPA,OWNED,high
Kishanganj,623,East India Company,EIC,"South Asia 1763 (post-Mughal successors + EIC): province held by East India Company (EIC) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",EIC,OWNED,high
Pulau Siberut,624,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Xolotlan,625,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Port au Choix,626,Newfoundland,NFL,"North America 1763 (post-Paris colonies + Native nations): province held by Newfoundland (NFL) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/north_america_1763.md]",NFL,OWNED,high
Xinyu,627,China,CHI,"East Asia 1763 (Qing empire + tributaries): province held by China (CHI) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",CHI,OWNED,high
Cruz del Eje,628,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Nagqu,629,Tibet,TIB,"East Asia 1763 (Qing empire + tributaries): province held by Tibet (TIB) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",TIB,OWNED,high
Tanjung Selor,630,Ganung Tabor,GNT,"Maritime SE Asia 1763 (sultanates + VOC): province held by Ganung Tabor (GNT) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/oceania_sea_maghreb_1763.md]",GNT,OWNED,high
Kabudarahang,631,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Dutovo,632,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Sydney,633,Nova Scotia,NVS,"North America 1763 (post-Paris colonies + Native nations): province held by Nova Scotia (NVS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/north_america_1763.md]",NVS,OWNED,high
Salalah,634,Oman,OMA,"Middle East 1763 (Ottoman / Persian / Arabian spheres): province held by Oman (OMA) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",OMA,OWNED,high
Erzin,635,Tannu Uriankhai,TNN,"Central Asia 1763 (khanates / Qing frontier): province held by Tannu Uriankhai (TNN) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",TNN,OWNED,high
Shishan,636,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Sept-Iles,637,Lower Canada,LCA,"North America 1763 (post-Paris colonies + Native nations): province held by Lower Canada (LCA) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/north_america_1763.md]",LCA,OWNED,high
Guandacol,638,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Qasr-e-Shirin,639,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Baikal,640,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Lyck,641,Prussia,PRU,"Central Europe / HRE 1763 (abstracted per operator HRE rule): province held by Prussia (PRU) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",PRU,OWNED,high
Vågåmo,642,Norway,NOR,"Scandinavia 1763 (Sweden/Denmark-Norway): province held by Norway (NOR) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",NOR,OWNED,high
Walk,643,Livonia,LIV,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Livonia (LIV) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",LIV,OWNED,high
Tortona,644,Sardinia,SAR,"Italy 1763 (pre-unification states + republics): province held by Sardinia (SAR) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",SAR,OWNED,high
Pskov,645,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Pisek,646,Austria,AUS,"Central Europe / HRE 1763 (abstracted per operator HRE rule): province held by Austria (AUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",AUS,OWNED,high
Rastenburg,647,Prussia,PRU,"Central Europe / HRE 1763 (abstracted per operator HRE rule): province held by Prussia (PRU) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",PRU,OWNED,high
Elkhovka,648,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Vagamo,649,Norway,NOR,"Scandinavia 1763 (Sweden/Denmark-Norway): province held by Norway (NOR) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",NOR,OWNED,high
Zhirnovsk,650,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Kyonkpyoo,651,Burma,BUR,"Mainland SE Asia 1763 (Burma/Siam/Vietnam/Khmer): province held by Burma (BUR) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/oceania_sea_maghreb_1763.md]",BUR,OWNED,high
Elista,652,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Sverdlovo,653,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Sonipat,654,East India Company,EIC,"South Asia 1763 (post-Mughal successors + EIC): province held by East India Company (EIC) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",EIC,OWNED,high
Alessandria,655,Sardinia,SAR,"Italy 1763 (pre-unification states + republics): province held by Sardinia (SAR) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",SAR,OWNED,high
Dorpat,656,Livonia,LIV,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Livonia (LIV) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",LIV,OWNED,high
